需求编号,需求描述,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
技术优化6,"【需求背景】：调拨，保存和提交时，页面响应时间过长
【方案描述】：1.优化扣减台账和还原台账的逻辑，
2.保存、提交、删除、作废和scm作废时，扣减或还原台账逻辑进行复用
3.提交单据时，删除本地流程历史，代办路由统一，已办和详情路由统一，去除驳回页",功能,物资管理-PMS调拨申请单,PMS调拨申请单,保存单据时，扣减台账库存,L2,验证保存单据时，扣减库存台账,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击保存按钮，查看对应的台账数据,1.正常扣减对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,提交单据时，扣减台账库存,L2,验证提交单据时，扣减台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击提交按钮，查看对应的台账数据,1.正常扣减对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,删除单据时，还原台账库存,L2,验证删除单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击删除单据，查看对应的台账数据,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,PMS作废单据时，还原台账库存,L2,验证PMS作废单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击作废单据，查看对应的台账数据,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,SCM作废单据时，还原台账库存,L2,验证SCM作废单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.同步SCM作废的单据，查看对应的台账,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,查看待办页面流程历史,L2,验证查看待办页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入待办页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,查看已办页面流程历史,L2,验证查看已办页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入已办页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,查看驳回页面流程历史,L2,验证查看驳回页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入驳回页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,查看详情页面流程历史,L2,验证查看详情页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入详情页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,本次调拨数量填写全为0，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.本次调拨数量填写全为0",1.新增/编辑调拨申请单，点击保存/提交,提示：“本次调拨数量填写错误，请检查后重新填写！”,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,调拨数量超过可调入数量，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.调拨数量超过可调入数量",1.新增/编辑调拨申请单，点击保存/提交,提示：“本次调拨数量超过可调入数量，可调入数量XXX,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,本次调拨数量超过可调拨数量，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.本次调拨数量超过可调拨数量",1.新增/编辑调拨申请单，点击保存/提交,提示：“本次调拨数量超过可调拨数量，可调拨数量XXX,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,调入方无对应设计产品，弹出提示,L2,验证调拨单拦截提示,"1.系统运行正常
2.使用工程实施经理等角色登陆系统
3.调入方无对应设计产品",1.新增/编辑调拨申请单，点击保存/提交,提示：“调入方无对应设计产品，无法调入，请检查调入方设计物资清单”,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS调拨申请单,PMS调拨申请单,修改调拨单路由,L3,验证调拨单路由,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.查看调拨单路由,PMS项目调拨：\pmsTrans\,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,保存单据时，扣减台账库存,L2,验证保存单据时，扣减库存台账,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击保存按钮，查看对应的台账数据,1.正常扣减对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,提交单据时，扣减台账库存,L2,验证提交单据时，扣减台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击提交按钮，查看对应的台账数据,1.正常扣减对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,删除单据时，还原台账库存,L2,验证删除单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击删除单据，查看对应的台账数据,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,PMS作废单据时，还原台账库存,L2,验证PMS作废单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击作废单据，查看对应的台账数据,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,SCM作废单据时，还原台账库存,L2,验证SCM作废单据时，还原台账库存,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.同步SCM作废的单据，查看对应的台账,1.正常还原对应的台账库存,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,查看待办页面流程历史,L2,验证查看待办页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入待办页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
技术优化6,,功能,物资管理-PMS多项目调拨申请单,PMS多项目调拨申请单,查看已办页面流程历史,L2,验证查看已办页面流程历史,"1.系统运行正常
2.使用工程实施经理等角色登陆系统",1.点击进入已办页面，查看流程历史数据,1.正常展示对应的流程历史数据,,冯云梦,UAT,
