需求编号,需求描述,运营平台需求编号,用例类型,导航,功能模块,功能点,优先级,用例标题,前置条件,操作步骤,预期结果,测试结果,执行人,测试环境,备注
9593,合作单位考核，月度打分制评分待办接入嵌入式风险组件，用户打开待办时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,月度打分制-评分待办,我的待办,UIUE展示,L3,验证评分待办页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.评分待办下发到评分人","1.在我的待办页面，点击处理进入详细页面，检查展示
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9593,合作单位考核，月度打分制评分待办接入嵌入式风险组件，用户打开待办时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,月度打分制-评分待办,我的待办,UIUE展示,L3,验证评分待办审批页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.评分待办下发到评分人","1.在我的待办页面，点击处理进入详细页面，检查展示
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9593,合作单位考核，月度打分制评分待办接入嵌入式风险组件，用户打开待办时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,月度打分制-评分待办,我的待办,UIUE展示,L3,验证评分已办页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.评分待办下发到评分人","1.在我的待办页面，点击处理进入详细页面，检查展示
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9593,合作单位考核，月度打分制评分待办接入嵌入式风险组件，用户打开待办时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,月度打分制-评分待办,我的待办,UIUE展示,L3,验证评分待办页面不显示风险提示信息,"1.取消配置嵌入式风险指标配置
2.评分待办下发到评分人","1.在我的待办页面，检查展示风险点
","1.页面不展示廉洁风险信息
",,,,
9609,合作单位考核，溯源扣分单据接入嵌入式风险组件，用户发起单据时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,辅助管理-溯源管理,溯源管理,UIUE展示,L3,验证溯源管理的新增页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.合作单位考核管理员登录","1.在溯源管理新增页面
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9609,合作单位考核，溯源扣分单据接入嵌入式风险组件，用户发起单据时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,辅助管理-溯源管理,溯源管理,UIUE展示,L3,验证溯源管理的草稿页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.合作单位考核管理员登录","1.在溯源管理新增页面，保存后
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9609,合作单位考核，溯源扣分单据接入嵌入式风险组件，用户发起单据时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,辅助管理-溯源管理,溯源管理,UIUE展示,L3,验证溯源管理的审批页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.合作单位考核管理员登录","1.在溯源管理审批页面
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9609,合作单位考核，溯源扣分单据接入嵌入式风险组件，用户发起单据时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,辅助管理-溯源管理,溯源管理,UIUE展示,L3,验证溯源管理的审批完成页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.合作单位考核管理员登录","1.在溯源管理审批完成页面
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9609,合作单位考核，溯源扣分单据接入嵌入式风险组件，用户发起单据时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,辅助管理-溯源管理,溯源管理,UIUE展示,L3,验证溯源管理的已办页面显示风险提示信息,"1.配置嵌入式风险指标配置
2.合作单位考核管理员登录","1.在溯源管理已办页面
2. 点击链接风险点的任意位置
3. 点击确定按钮
4. 点击叉叉按钮","1.页面展示廉洁风险信息
2.弹框展示风险内容，弹框展示确定按钮和叉叉按钮 
3. 关闭弹框
4. 关闭弹框",,,,
9609,合作单位考核，溯源扣分单据接入嵌入式风险组件，用户发起单据时根据嵌入式风险配置显示风险提示信息，后端接口及前端样式均由工程实施提供，合作伙伴仅做接口对接,,UIUE+功能,辅助管理-溯源管理,溯源管理,UIUE展示,L3,验证溯源管理的新增页面不显示风险提示信息,"1.取消配置嵌入式风险指标配置
2.合作单位考核管理员登录",1.在溯源管理系新增页面，检查风险点展示,"1.页面不展示廉洁风险信息
",,,,
